Tag Name,Time,Value
Caudal,17/01/2023 15:35,52
Caudal,17/01/2023 16:19,47
Caudal,17/01/2023 16:57,43
Caudal,17/01/2023 17:56,66
Caudal,17/01/2023 17:57,80
Caudal,17/01/2023 18:19,72
Caudal,17/01/2023 19:41,72
Caudal,17/01/2023 21:03,72
Caudal,17/01/2023 21:27,0
Caudal,17/01/2023 21:40,28
Caudal,17/01/2023 21:40,58
Caudal,17/01/2023 21:40,83
Caudal,17/01/2023 21:40,103
Caudal,17/01/2023 21:41,117
Caudal,17/01/2023 21:41,135
Caudal,17/01/2023 21:42,147
Caudal,17/01/2023 22:15,136
Caudal,17/01/2023 22:25,131
Caudal,17/01/2023 22:43,124
Caudal,17/01/2023 23:26,112
Caudal,17/01/2023 23:47,108
Caudal,18/01/2023 0:30,123
Caudal,18/01/2023 0:34,110
Caudal,18/01/2023 0:34,96
Caudal,18/01/2023 0:35,83
Caudal,18/01/2023 0:35,71
Caudal,18/01/2023 0:35,58
Caudal,18/01/2023 0:35,72
Caudal,18/01/2023 0:35,84
Caudal,18/01/2023 0:35,85
Caudal,18/01/2023 0:41,97
Caudal,18/01/2023 0:53,109
Caudal,18/01/2023 0:57,121
Caudal,18/01/2023 1:00,133
Caudal,18/01/2023 1:03,145
Caudal,18/01/2023 1:06,157
Caudal,18/01/2023 1:07,144
Caudal,18/01/2023 1:08,129
Caudal,18/01/2023 1:08,116
Caudal,18/01/2023 1:09,122
Caudal,18/01/2023 1:11,128
Caudal,18/01/2023 1:11,115
Caudal,18/01/2023 1:11,103
Caudal,18/01/2023 1:11,91
Caudal,18/01/2023 1:12,86
Caudal,18/01/2023 1:12,103
Caudal,18/01/2023 1:14,102
Caudal,18/01/2023 1:20,115
Caudal,18/01/2023 1:23,113
Caudal,18/01/2023 1:24,108
Caudal,18/01/2023 1:27,128
Caudal,18/01/2023 1:28,115
Caudal,18/01/2023 1:28,115
Caudal,18/01/2023 1:29,102
Caudal,18/01/2023 1:32,115
Caudal,18/01/2023 1:33,114
Caudal,18/01/2023 1:37,103
Caudal,18/01/2023 1:37,114
Caudal,18/01/2023 1:37,114
Caudal,18/01/2023 1:38,102
Caudal,18/01/2023 1:38,102
Caudal,18/01/2023 1:40,114
Caudal,18/01/2023 1:45,107
Caudal,18/01/2023 1:47,99
Caudal,18/01/2023 2:02,111
Caudal,18/01/2023 2:09,99
Caudal,18/01/2023 2:23,110
Caudal,18/01/2023 2:30,98
Caudal,18/01/2023 2:31,104
Caudal,18/01/2023 2:47,113
Caudal,18/01/2023 2:47,101
Caudal,18/01/2023 3:02,114
Caudal,18/01/2023 3:05,102
Caudal,18/01/2023 3:53,98
Caudal,18/01/2023 4:17,114
Caudal,18/01/2023 4:18,102
Caudal,18/01/2023 4:35,97
Caudal,18/01/2023 5:15,99
Caudal,18/01/2023 6:20,114
Caudal,18/01/2023 6:20,114
Caudal,18/01/2023 6:23,101
Caudal,18/01/2023 6:32,114
Caudal,18/01/2023 6:33,100
Caudal,18/01/2023 6:37,98
Caudal,18/01/2023 6:41,112
