Tag Name,Time,Value
Caudal,17/01/2023 16:48,25
Caudal,17/01/2023 16:49,13
Caudal,17/01/2023 16:49,25
Caudal,17/01/2023 16:50,13
Caudal,17/01/2023 16:50,13
Caudal,17/01/2023 16:53,2
Caudal,17/01/2023 16:54,2
Caudal,17/01/2023 17:22,13
Caudal,17/01/2023 17:22,28
Caudal,17/01/2023 17:22,50
Caudal,17/01/2023 17:22,50
Caudal,17/01/2023 17:23,13
Caudal,17/01/2023 17:23,13
Caudal,17/01/2023 17:23,85
Caudal,17/01/2023 17:23,85
Caudal,17/01/2023 17:23,28
Caudal,17/01/2023 17:24,50
Caudal,17/01/2023 17:24,50
Caudal,17/01/2023 17:24,108
Caudal,17/01/2023 17:24,120
Caudal,17/01/2023 17:24,120
Caudal,17/01/2023 17:24,72
Caudal,17/01/2023 17:24,72
Caudal,17/01/2023 17:25,107
Caudal,17/01/2023 17:25,107
Caudal,17/01/2023 17:25,95
Caudal,17/01/2023 17:25,120
Caudal,17/01/2023 17:25,66
Caudal,17/01/2023 17:25,52
Caudal,17/01/2023 17:26,136
Caudal,17/01/2023 17:26,39
Caudal,17/01/2023 17:26,107
Caudal,17/01/2023 17:26,95
Caudal,17/01/2023 17:26,58
Caudal,17/01/2023 17:27,78
Caudal,17/01/2023 17:27,58
Caudal,17/01/2023 17:27,73
Caudal,17/01/2023 17:27,73
Caudal,17/01/2023 17:27,39
Caudal,17/01/2023 17:27,39
Caudal,17/01/2023 17:28,56
Caudal,17/01/2023 17:28,44
Caudal,17/01/2023 17:28,32
Caudal,17/01/2023 17:28,20
Caudal,17/01/2023 17:28,73
Caudal,17/01/2023 17:28,7
Caudal,17/01/2023 17:29,56
Caudal,17/01/2023 17:29,56
Caudal,17/01/2023 17:33,19
Caudal,17/01/2023 17:34,19
Caudal,17/01/2023 18:42,8
Caudal,18/01/2023 2:06,11
Caudal,18/01/2023 3:28,9
Caudal,18/01/2023 7:34,9
Caudal,18/01/2023 10:18,12
Caudal,18/01/2023 20:44,19
Caudal,18/01/2023 20:44,19
Caudal,18/01/2023 20:48,31
Caudal,18/01/2023 20:48,18
Caudal,18/01/2023 21:15,11
Caudal,18/01/2023 23:58,8
Caudal,19/01/2023 5:26,9
Caudal,19/01/2023 8:12,6
Caudal,19/01/2023 13:38,0
Caudal,20/01/2023 3:17,11
Caudal,20/01/2023 9:37,3
Caudal,20/01/2023 10:08,9
Caudal,20/01/2023 19:41,14
Caudal,20/01/2023 20:01,26
Caudal,20/01/2023 20:02,14
Caudal,20/01/2023 20:02,14
Caudal,20/01/2023 20:02,26
Caudal,20/01/2023 20:03,14
Caudal,20/01/2023 20:03,14
Caudal,20/01/2023 20:05,26
Caudal,20/01/2023 20:05,26
Caudal,20/01/2023 20:06,13
Caudal,20/01/2023 21:49,25
Caudal,20/01/2023 21:50,13
Caudal,20/01/2023 21:50,25
Caudal,20/01/2023 21:51,13
Caudal,20/01/2023 21:51,13
Caudal,21/01/2023 19:33,27
Caudal,21/01/2023 19:34,15
Caudal,21/01/2023 19:34,27
Caudal,21/01/2023 19:35,15
Caudal,21/01/2023 19:35,15
Caudal,22/01/2023 8:37,6
Caudal,22/01/2023 20:54,9
Caudal,22/01/2023 21:32,30
Caudal,22/01/2023 21:32,30
Caudal,22/01/2023 21:33,16
Caudal,22/01/2023 21:34,16
Caudal,22/01/2023 21:34,28
Caudal,22/01/2023 21:36,17
Caudal,22/01/2023 21:37,17
Caudal,22/01/2023 22:15,9
Caudal,23/01/2023 1:00,11
Caudal,23/01/2023 2:56,5
Caudal,23/01/2023 9:11,8
Caudal,23/01/2023 9:25,17
Caudal,23/01/2023 9:25,17
Caudal,23/01/2023 10:45,5
Caudal,23/01/2023 10:46,5
Caudal,23/01/2023 10:52,17
Caudal,24/01/2023 23:41,17
Caudal,24/01/2023 23:41,17
Caudal,25/01/2023 3:24,5
Caudal,25/01/2023 3:24,5
Caudal,25/01/2023 4:18,17
Caudal,25/01/2023 4:18,17
Caudal,25/01/2023 5:45,5
Caudal,25/01/2023 9:42,18
Caudal,25/01/2023 9:42,18
Caudal,25/01/2023 10:02,6
Caudal,26/01/2023 0:54,7
Caudal,26/01/2023 0:55,7
Caudal,26/01/2023 3:04,19
Caudal,26/01/2023 3:05,19
Caudal,26/01/2023 3:38,7
Caudal,26/01/2023 5:32,9
Caudal,26/01/2023 6:54,10
Caudal,26/01/2023 8:16,10
Caudal,26/01/2023 13:43,10
Caudal,27/01/2023 7:30,9
Caudal,27/01/2023 8:52,9
Caudal,27/01/2023 10:15,9
Caudal,27/01/2023 11:54,19
Caudal,27/01/2023 11:56,32
Caudal,27/01/2023 11:56,20
Caudal,27/01/2023 11:56,20
Caudal,27/01/2023 11:57,32
Caudal,27/01/2023 11:59,32
Caudal,27/01/2023 12:00,15
Caudal,27/01/2023 12:00,32
Caudal,27/01/2023 12:00,32
Caudal,27/01/2023 12:01,15
Caudal,27/01/2023 12:02,28
Caudal,27/01/2023 12:02,28
Caudal,27/01/2023 12:02,15
Caudal,27/01/2023 12:04,15
Caudal,27/01/2023 12:04,27
