Tag Name,Time,Value
Caudal,17/01/2023 15:51,106
Caudal,17/01/2023 17:13,105
Caudal,17/01/2023 18:35,106
Caudal,17/01/2023 19:57,105
Caudal,17/01/2023 21:19,96
Caudal,17/01/2023 22:41,95
Caudal,17/01/2023 23:12,113
Caudal,18/01/2023 0:04,121
Caudal,18/01/2023 1:08,125
Caudal,18/01/2023 1:21,113
Caudal,18/01/2023 1:25,121
Caudal,18/01/2023 1:36,125
Caudal,18/01/2023 1:37,137
Caudal,18/01/2023 1:40,149
Caudal,18/01/2023 1:43,137
Caudal,18/01/2023 2:47,149
Caudal,18/01/2023 2:48,152
Caudal,18/01/2023 3:28,137
Caudal,18/01/2023 3:51,149
Caudal,18/01/2023 3:54,138
Caudal,18/01/2023 4:09,145
Caudal,18/01/2023 5:31,142
Caudal,18/01/2023 6:53,140
Caudal,18/01/2023 7:25,126
Caudal,18/01/2023 8:15,125
Caudal,18/01/2023 8:31,112
Caudal,18/01/2023 8:33,100
Caudal,18/01/2023 9:37,105
Caudal,18/01/2023 10:59,107
Caudal,18/01/2023 11:55,88
Caudal,18/01/2023 12:21,89
Caudal,18/01/2023 13:43,90
Caudal,18/01/2023 15:05,89
Caudal,18/01/2023 16:27,87
Caudal,18/01/2023 17:49,90
Caudal,18/01/2023 19:11,88
Caudal,18/01/2023 20:33,90
Caudal,18/01/2023 21:55,88
Caudal,18/01/2023 23:17,91
Caudal,18/01/2023 23:52,100
Caudal,18/01/2023 23:53,124
Caudal,18/01/2023 23:53,124
Caudal,18/01/2023 23:54,136
Caudal,18/01/2023 23:54,112
Caudal,19/01/2023 0:16,148
Caudal,19/01/2023 0:40,145
Caudal,19/01/2023 1:09,161
Caudal,19/01/2023 1:10,177
Caudal,19/01/2023 1:10,192
Caudal,19/01/2023 1:10,217
Caudal,19/01/2023 1:10,230
Caudal,19/01/2023 1:10,244
Caudal,19/01/2023 1:11,261
Caudal,19/01/2023 1:11,286
Caudal,19/01/2023 1:11,316
Caudal,19/01/2023 1:11,328
Caudal,19/01/2023 1:11,340
Caudal,19/01/2023 1:12,353
Caudal,19/01/2023 1:13,341
Caudal,19/01/2023 1:13,328
Caudal,19/01/2023 1:14,311
Caudal,19/01/2023 1:14,292
Caudal,19/01/2023 1:16,317
Caudal,19/01/2023 1:16,336
Caudal,19/01/2023 1:17,356
Caudal,19/01/2023 1:17,369
Caudal,19/01/2023 1:17,305
Caudal,19/01/2023 1:17,381
Caudal,19/01/2023 1:17,395
Caudal,19/01/2023 1:18,407
Caudal,19/01/2023 1:18,419
Caudal,19/01/2023 1:19,406
Caudal,19/01/2023 1:20,389
Caudal,19/01/2023 1:20,376
Caudal,19/01/2023 1:22,364
Caudal,19/01/2023 1:24,375
Caudal,19/01/2023 1:33,389
Caudal,19/01/2023 1:35,378
Caudal,19/01/2023 1:42,389
Caudal,19/01/2023 1:43,378
Caudal,19/01/2023 2:01,384
Caudal,19/01/2023 2:09,390
Caudal,19/01/2023 2:12,377
Caudal,19/01/2023 2:15,365
Caudal,19/01/2023 2:17,377
Caudal,19/01/2023 2:19,390
Caudal,19/01/2023 2:21,378
Caudal,19/01/2023 2:40,391
Caudal,19/01/2023 2:42,377
Caudal,19/01/2023 2:44,390
Caudal,19/01/2023 2:47,376
Caudal,19/01/2023 3:23,369
Caudal,19/01/2023 4:46,379
Caudal,19/01/2023 5:52,321
Caudal,19/01/2023 5:52,295
Caudal,19/01/2023 5:53,270
Caudal,19/01/2023 5:53,270
Caudal,19/01/2023 5:53,256
Caudal,19/01/2023 5:53,362
Caudal,19/01/2023 5:53,239
Caudal,19/01/2023 5:53,335
Caudal,19/01/2023 5:54,200
Caudal,19/01/2023 5:54,181
Caudal,19/01/2023 5:54,163
Caudal,19/01/2023 5:54,150
Caudal,19/01/2023 5:55,215
Caudal,19/01/2023 5:55,136
Caudal,19/01/2023 5:55,124
Caudal,19/01/2023 5:55,119
Caudal,19/01/2023 5:56,112
Caudal,19/01/2023 5:57,124
Caudal,19/01/2023 5:58,136
Caudal,19/01/2023 5:58,148
Caudal,19/01/2023 6:00,160
Caudal,19/01/2023 6:04,147
Caudal,19/01/2023 6:07,145
Caudal,19/01/2023 6:29,135
Caudal,19/01/2023 6:58,123
Caudal,19/01/2023 7:29,119
Caudal,19/01/2023 8:52,118
Caudal,19/01/2023 10:13,122
Caudal,19/01/2023 11:06,109
Caudal,19/01/2023 11:08,97
Caudal,19/01/2023 11:35,92
Caudal,19/01/2023 12:57,91
Caudal,19/01/2023 13:51,85
Caudal,19/01/2023 14:19,90
Caudal,19/01/2023 15:41,93
Caudal,19/01/2023 17:03,93
Caudal,19/01/2023 18:25,93
Caudal,19/01/2023 19:47,94
Caudal,19/01/2023 19:57,97
Caudal,19/01/2023 20:14,85
Caudal,19/01/2023 21:09,91
Caudal,19/01/2023 22:31,92
Caudal,19/01/2023 22:46,98
Caudal,19/01/2023 22:46,116
Caudal,19/01/2023 22:46,138
Caudal,19/01/2023 22:47,158
Caudal,19/01/2023 22:47,172
Caudal,19/01/2023 22:47,187
Caudal,19/01/2023 22:47,213
Caudal,19/01/2023 22:48,236
Caudal,19/01/2023 22:48,268
Caudal,19/01/2023 22:48,280
Caudal,19/01/2023 22:48,292
Caudal,19/01/2023 22:48,317
Caudal,19/01/2023 22:48,330
Caudal,19/01/2023 22:49,344
Caudal,19/01/2023 22:49,357
Caudal,19/01/2023 22:49,374
Caudal,19/01/2023 22:49,396
Caudal,19/01/2023 22:49,410
Caudal,19/01/2023 22:51,397
Caudal,19/01/2023 22:51,380
Caudal,19/01/2023 22:51,366
Caudal,19/01/2023 22:52,353
Caudal,19/01/2023 22:52,340
Caudal,19/01/2023 22:53,328
Caudal,19/01/2023 22:53,328
Caudal,19/01/2023 22:55,340
Caudal,19/01/2023 22:56,352
Caudal,19/01/2023 23:00,340
Caudal,19/01/2023 23:03,352
Caudal,19/01/2023 23:08,340
Caudal,19/01/2023 23:12,352
Caudal,19/01/2023 23:20,339
Caudal,19/01/2023 23:22,351
Caudal,19/01/2023 23:53,337
Caudal,19/01/2023 23:54,337
Caudal,19/01/2023 23:55,349
Caudal,20/01/2023 1:15,350
Caudal,20/01/2023 2:37,348
Caudal,20/01/2023 4:00,353
