Tag Name,Time,Value
Caudal,17/01/2023 15:20,554
Caudal,17/01/2023 16:41,553
Caudal,17/01/2023 18:03,552
Caudal,17/01/2023 19:25,552
Caudal,17/01/2023 20:47,559
Caudal,17/01/2023 22:09,560
Caudal,17/01/2023 22:38,562
Caudal,17/01/2023 23:31,554
Caudal,18/01/2023 0:53,553
Caudal,18/01/2023 1:37,550
Caudal,18/01/2023 1:50,539
Caudal,18/01/2023 2:15,543
Caudal,18/01/2023 3:37,538
Caudal,18/01/2023 4:59,535
Caudal,18/01/2023 6:21,531
Caudal,18/01/2023 7:09,527
Caudal,18/01/2023 7:26,539
Caudal,18/01/2023 7:43,537
Caudal,18/01/2023 8:54,551
Caudal,18/01/2023 9:05,552
Caudal,18/01/2023 10:27,555
Caudal,18/01/2023 11:49,556
Caudal,18/01/2023 12:22,562
Caudal,18/01/2023 13:11,564
Caudal,18/01/2023 14:33,564
Caudal,18/01/2023 15:55,564
Caudal,18/01/2023 17:17,562
Caudal,18/01/2023 18:39,563
Caudal,18/01/2023 20:01,565
Caudal,18/01/2023 21:23,567
Caudal,18/01/2023 22:45,568
Caudal,19/01/2023 0:07,568
Caudal,19/01/2023 0:14,550
Caudal,19/01/2023 1:29,544
Caudal,19/01/2023 1:37,537
Caudal,19/01/2023 2:47,526
Caudal,19/01/2023 2:51,527
Caudal,19/01/2023 4:13,519
Caudal,19/01/2023 5:02,514
Caudal,19/01/2023 5:35,516
Caudal,19/01/2023 6:34,527
Caudal,19/01/2023 6:57,530
Caudal,19/01/2023 7:01,538
Caudal,19/01/2023 8:08,550
Caudal,19/01/2023 8:18,562
Caudal,19/01/2023 8:19,563
Caudal,19/01/2023 9:41,569
Caudal,19/01/2023 11:03,561
Caudal,19/01/2023 12:07,574
Caudal,19/01/2023 12:25,574
Caudal,19/01/2023 13:47,577
Caudal,19/01/2023 15:09,579
Caudal,19/01/2023 16:31,579
Caudal,19/01/2023 17:53,575
Caudal,19/01/2023 19:15,572
Caudal,19/01/2023 20:37,579
Caudal,19/01/2023 21:59,579
Caudal,19/01/2023 23:22,577
Caudal,19/01/2023 23:26,561
Caudal,20/01/2023 0:43,552
Caudal,20/01/2023 0:45,548
Caudal,20/01/2023 2:03,537
Caudal,20/01/2023 2:05,537
Caudal,20/01/2023 3:27,536
Caudal,20/01/2023 4:49,538
Caudal,20/01/2023 6:11,536
Caudal,20/01/2023 7:33,532
Caudal,20/01/2023 8:07,549
Caudal,20/01/2023 8:13,561
Caudal,20/01/2023 8:55,568
Caudal,20/01/2023 10:17,569
Caudal,20/01/2023 11:39,569
Caudal,20/01/2023 13:01,563
Caudal,20/01/2023 14:23,556
Caudal,20/01/2023 15:45,567
Caudal,20/01/2023 16:21,573
Caudal,20/01/2023 17:07,577
Caudal,20/01/2023 18:29,576
Caudal,20/01/2023 19:51,582
Caudal,20/01/2023 20:30,584
Caudal,20/01/2023 21:13,583
Caudal,20/01/2023 22:35,585
Caudal,20/01/2023 23:48,571
Caudal,20/01/2023 23:57,561
Caudal,20/01/2023 23:59,560
Caudal,21/01/2023 1:19,556
Caudal,21/01/2023 2:41,550
Caudal,21/01/2023 3:30,548
Caudal,21/01/2023 4:03,548
Caudal,21/01/2023 5:25,547
Caudal,21/01/2023 6:47,540
Caudal,21/01/2023 7:00,536
Caudal,21/01/2023 7:10,547
Caudal,21/01/2023 8:02,560
Caudal,21/01/2023 8:09,563
Caudal,21/01/2023 9:31,569
Caudal,21/01/2023 10:53,567
Caudal,21/01/2023 12:15,568
Caudal,21/01/2023 13:08,572
Caudal,21/01/2023 13:09,584
Caudal,21/01/2023 13:13,596
Caudal,21/01/2023 13:15,599
Caudal,21/01/2023 13:23,584
Caudal,21/01/2023 13:37,580
Caudal,21/01/2023 15:00,589
Caudal,21/01/2023 16:21,588
Caudal,21/01/2023 17:43,587
Caudal,21/01/2023 19:05,587
Caudal,21/01/2023 20:27,590
Caudal,21/01/2023 21:49,591
Caudal,21/01/2023 23:11,592
Caudal,22/01/2023 0:33,593
Caudal,22/01/2023 1:55,593
Caudal,22/01/2023 3:17,593
Caudal,22/01/2023 4:39,593
Caudal,22/01/2023 6:01,593
Caudal,22/01/2023 7:23,591
Caudal,22/01/2023 8:45,591
Caudal,22/01/2023 10:07,591
Caudal,22/01/2023 11:29,591
Caudal,22/01/2023 12:51,589
Caudal,22/01/2023 14:13,591
Caudal,22/01/2023 15:35,588
Caudal,22/01/2023 16:57,588
Caudal,22/01/2023 18:19,587
Caudal,22/01/2023 19:41,588
Caudal,22/01/2023 21:03,590
Caudal,22/01/2023 22:25,592
Caudal,22/01/2023 23:47,593
Caudal,23/01/2023 1:09,593
Caudal,23/01/2023 2:31,594
Caudal,23/01/2023 3:53,592
Caudal,23/01/2023 5:15,593
Caudal,23/01/2023 6:37,592
Caudal,23/01/2023 6:57,596
