Tag Name,Time,Value
Caudal,17/01/2023 15:59,2115
Caudal,17/01/2023 16:41,2041
Caudal,17/01/2023 16:41,1985
Caudal,17/01/2023 16:41,1948
Caudal,17/01/2023 16:42,1922
Caudal,17/01/2023 16:42,1922
Caudal,17/01/2023 16:42,1904
Caudal,17/01/2023 16:42,1892
Caudal,17/01/2023 16:43,1876
Caudal,17/01/2023 16:44,1863
Caudal,17/01/2023 16:50,1850
Caudal,17/01/2023 16:52,1832
Caudal,17/01/2023 16:56,1847
Caudal,17/01/2023 16:57,1834
Caudal,17/01/2023 17:00,1818
Caudal,17/01/2023 17:00,1818
Caudal,17/01/2023 17:00,1805
Caudal,17/01/2023 17:03,1819
Caudal,17/01/2023 17:05,1804
Caudal,17/01/2023 17:22,1801
Caudal,17/01/2023 17:31,1764
Caudal,17/01/2023 17:31,1745
Caudal,17/01/2023 17:31,1732
Caudal,17/01/2023 17:32,1715
Caudal,17/01/2023 17:32,1702
Caudal,17/01/2023 17:33,1687
Caudal,17/01/2023 17:41,1673
Caudal,17/01/2023 17:45,1659
Caudal,17/01/2023 17:48,1643
Caudal,17/01/2023 17:49,1655
Caudal,17/01/2023 17:49,1655
Caudal,17/01/2023 17:54,1643
Caudal,17/01/2023 17:56,1628
Caudal,17/01/2023 17:57,1616
Caudal,17/01/2023 17:58,1630
Caudal,17/01/2023 17:58,1630
Caudal,17/01/2023 18:00,1610
Caudal,17/01/2023 18:05,1592
Caudal,17/01/2023 18:06,1579
Caudal,17/01/2023 18:06,1598
Caudal,17/01/2023 18:07,1615
Caudal,17/01/2023 18:10,1599
Caudal,17/01/2023 18:17,1583
Caudal,17/01/2023 18:18,1599
Caudal,17/01/2023 18:21,1616
Caudal,17/01/2023 18:21,1616
Caudal,17/01/2023 18:21,1604
Caudal,17/01/2023 18:26,1590
Caudal,17/01/2023 18:27,1601
Caudal,17/01/2023 18:30,1614
Caudal,17/01/2023 18:31,1601
Caudal,17/01/2023 18:33,1614
Caudal,17/01/2023 18:39,1601
Caudal,17/01/2023 18:41,1616
Caudal,17/01/2023 18:43,1603
Caudal,17/01/2023 18:43,1603
Caudal,17/01/2023 18:45,1616
Caudal,17/01/2023 18:55,1604
Caudal,17/01/2023 18:57,1615
Caudal,17/01/2023 18:58,1603
Caudal,17/01/2023 19:01,1590
Caudal,17/01/2023 19:03,1604
Caudal,17/01/2023 19:05,1616
Caudal,17/01/2023 19:05,1616
Caudal,17/01/2023 19:14,1627
Caudal,17/01/2023 19:17,1604
Caudal,17/01/2023 19:17,1586
Caudal,17/01/2023 19:19,1599
Caudal,17/01/2023 19:25,1612
Caudal,17/01/2023 19:28,1600
Caudal,17/01/2023 19:29,1615
Caudal,17/01/2023 19:32,1627
Caudal,17/01/2023 19:33,1610
Caudal,17/01/2023 19:35,1624
Caudal,17/01/2023 19:36,1637
Caudal,17/01/2023 19:40,1648
Caudal,17/01/2023 19:44,1664
Caudal,17/01/2023 19:50,1677
Caudal,17/01/2023 19:59,1694
Caudal,17/01/2023 19:59,1710
Caudal,17/01/2023 20:01,1724
Caudal,17/01/2023 20:03,1739
Caudal,17/01/2023 20:04,1753
Caudal,17/01/2023 20:06,1756
Caudal,17/01/2023 20:10,1768
Caudal,17/01/2023 20:16,1755
Caudal,17/01/2023 20:16,1755
Caudal,17/01/2023 20:18,1769
Caudal,17/01/2023 20:20,1782
Caudal,17/01/2023 20:20,1782
Caudal,17/01/2023 20:22,1794
Caudal,17/01/2023 20:27,1809
Caudal,17/01/2023 20:28,1796
Caudal,17/01/2023 20:29,1811
Caudal,17/01/2023 20:29,1796
Caudal,17/01/2023 20:30,1796
Caudal,17/01/2023 20:30,1826
Caudal,17/01/2023 20:30,1826
Caudal,17/01/2023 20:30,1814
Caudal,17/01/2023 20:35,1826
Caudal,17/01/2023 20:38,1841
Caudal,17/01/2023 20:38,1841
Caudal,17/01/2023 20:41,1853
Caudal,17/01/2023 20:41,1853
Caudal,17/01/2023 20:47,1867
Caudal,17/01/2023 20:53,1840
Caudal,17/01/2023 20:54,1816
Caudal,17/01/2023 20:55,1840
Caudal,17/01/2023 20:55,1866
Caudal,17/01/2023 20:56,1885
Caudal,17/01/2023 20:57,1864
Caudal,17/01/2023 20:57,1864
Caudal,17/01/2023 20:57,1876
Caudal,17/01/2023 20:57,1888
Caudal,17/01/2023 20:58,1888
Caudal,17/01/2023 20:58,1900
Caudal,17/01/2023 20:59,1870
Caudal,17/01/2023 20:59,1870
Caudal,17/01/2023 20:59,1887
Caudal,17/01/2023 21:00,1869
Caudal,17/01/2023 21:00,1856
Caudal,17/01/2023 21:00,1872
Caudal,17/01/2023 21:01,1885
Caudal,17/01/2023 21:02,1898
Caudal,17/01/2023 21:02,1913
Caudal,17/01/2023 21:04,1900
Caudal,17/01/2023 21:04,1919
Caudal,17/01/2023 21:04,1919
Caudal,17/01/2023 21:05,1931
Caudal,17/01/2023 21:11,1948
Caudal,17/01/2023 21:11,1965
Caudal,17/01/2023 21:13,1977
Caudal,17/01/2023 21:14,1993
Caudal,17/01/2023 21:16,2011
Caudal,17/01/2023 21:18,2025
Caudal,17/01/2023 21:18,2041
Caudal,17/01/2023 21:19,2054
Caudal,17/01/2023 21:21,2073
Caudal,17/01/2023 21:22,2092
Caudal,17/01/2023 21:24,2107
Caudal,17/01/2023 21:25,2126
Caudal,17/01/2023 21:25,2108
Caudal,17/01/2023 21:26,2092
Caudal,17/01/2023 21:26,2106
Caudal,17/01/2023 21:26,2125
Caudal,17/01/2023 21:27,2138
Caudal,17/01/2023 21:27,2137
Caudal,17/01/2023 21:29,2157
Caudal,17/01/2023 21:31,2134
Caudal,17/01/2023 21:32,2116
Caudal,17/01/2023 21:32,2103
Caudal,17/01/2023 21:32,2118
Caudal,17/01/2023 21:32,2133
Caudal,17/01/2023 21:32,2133
Caudal,17/01/2023 21:33,2116
Caudal,17/01/2023 21:33,2116
Caudal,17/01/2023 21:33,2104
Caudal,17/01/2023 21:33,2118
Caudal,17/01/2023 21:33,2138
Caudal,17/01/2023 21:34,2152
Caudal,17/01/2023 21:34,2168
Caudal,17/01/2023 21:34,2168
Caudal,17/01/2023 21:36,2189
Caudal,17/01/2023 21:37,2154
Caudal,17/01/2023 21:37,2130
Caudal,17/01/2023 21:37,2113
Caudal,17/01/2023 21:37,2101
Caudal,17/01/2023 21:38,2119
Caudal,17/01/2023 21:38,2143
Caudal,17/01/2023 21:38,2169
Caudal,17/01/2023 21:39,2186
Caudal,17/01/2023 21:39,2199
Caudal,17/01/2023 21:39,2213
Caudal,17/01/2023 21:39,2213
Caudal,17/01/2023 21:40,2177
Caudal,17/01/2023 21:41,2146
Caudal,17/01/2023 21:41,2124
Caudal,17/01/2023 21:41,2110
Caudal,17/01/2023 21:42,2092
Caudal,17/01/2023 21:42,2075
Caudal,17/01/2023 21:43,2109
Caudal,17/01/2023 21:43,2141
Caudal,17/01/2023 21:44,2164
Caudal,17/01/2023 21:44,2164
Caudal,17/01/2023 21:44,2189
Caudal,17/01/2023 21:44,2207
Caudal,17/01/2023 21:44,2172
Caudal,17/01/2023 21:44,2135
Caudal,17/01/2023 21:45,2156
Caudal,17/01/2023 21:45,2129
Caudal,17/01/2023 21:45,2105
Caudal,17/01/2023 21:46,2087
Caudal,17/01/2023 21:46,2074
Caudal,17/01/2023 21:46,2074
Caudal,17/01/2023 21:47,2115
Caudal,17/01/2023 21:47,2115
Caudal,17/01/2023 21:47,2094
Caudal,17/01/2023 21:48,2080
Caudal,17/01/2023 21:48,2125
Caudal,17/01/2023 21:49,2160
Caudal,17/01/2023 21:49,2147
Caudal,17/01/2023 21:49,2164
Caudal,17/01/2023 21:50,2149
Caudal,17/01/2023 21:50,2175
Caudal,17/01/2023 21:50,2175
Caudal,17/01/2023 21:51,2149
Caudal,17/01/2023 21:51,2149
Caudal,17/01/2023 21:51,2189
Caudal,17/01/2023 21:51,2201
Caudal,17/01/2023 21:51,2175
Caudal,17/01/2023 21:52,2228
Caudal,17/01/2023 21:52,2247
Caudal,17/01/2023 21:52,2260
Caudal,17/01/2023 21:53,2243
Caudal,17/01/2023 21:53,2224
Caudal,17/01/2023 21:53,2191
Caudal,17/01/2023 21:54,2169
Caudal,17/01/2023 21:54,2153
Caudal,17/01/2023 21:55,2134
Caudal,17/01/2023 21:55,2120
Caudal,17/01/2023 21:55,2103
Caudal,17/01/2023 21:55,2145
Caudal,17/01/2023 21:56,2188
Caudal,17/01/2023 21:56,2201
Caudal,17/01/2023 21:56,2229
Caudal,17/01/2023 22:00,2242
Caudal,17/01/2023 22:00,2242
Caudal,17/01/2023 22:00,2216
Caudal,17/01/2023 22:02,2230
Caudal,17/01/2023 22:02,2230
Caudal,17/01/2023 22:07,2217
Caudal,17/01/2023 22:08,2205
Caudal,17/01/2023 22:08,2191
Caudal,17/01/2023 22:09,2191
Caudal,17/01/2023 22:10,2206
Caudal,17/01/2023 22:10,2206
Caudal,17/01/2023 22:10,2191
Caudal,17/01/2023 22:10,2191
Caudal,17/01/2023 22:10,2193
Caudal,17/01/2023 22:10,2193
Caudal,17/01/2023 22:11,2206
Caudal,17/01/2023 22:11,2206
Caudal,17/01/2023 22:11,2193
Caudal,17/01/2023 22:11,2193
Caudal,17/01/2023 22:13,2206
Caudal,17/01/2023 22:14,2206
Caudal,17/01/2023 22:16,2194
Caudal,17/01/2023 22:17,2179
Caudal,17/01/2023 22:17,2164
Caudal,17/01/2023 22:18,2152
Caudal,17/01/2023 22:43,2121
Caudal,17/01/2023 22:44,2068
Caudal,17/01/2023 22:45,2095
Caudal,17/01/2023 22:45,2100
Caudal,17/01/2023 22:45,2117
Caudal,17/01/2023 22:45,2133
Caudal,17/01/2023 22:46,2152
Caudal,17/01/2023 22:46,2171
Caudal,17/01/2023 22:46,2156
Caudal,17/01/2023 22:47,2171
Caudal,17/01/2023 22:48,2184
Caudal,17/01/2023 22:49,2199
Caudal,17/01/2023 22:49,2199
Caudal,17/01/2023 22:50,2174
Caudal,17/01/2023 22:50,2156
Caudal,17/01/2023 22:50,2173
Caudal,17/01/2023 22:50,2184
Caudal,17/01/2023 22:51,2198
Caudal,17/01/2023 22:51,2172
Caudal,17/01/2023 22:51,2147
Caudal,17/01/2023 22:52,2129
Caudal,17/01/2023 22:52,2115
Caudal,17/01/2023 22:53,2101
Caudal,17/01/2023 22:53,2144
Caudal,17/01/2023 22:53,2175
Caudal,17/01/2023 22:53,2196
Caudal,17/01/2023 22:54,2211
Caudal,17/01/2023 22:54,2194
Caudal,17/01/2023 22:54,2174
Caudal,17/01/2023 22:54,2152
Caudal,17/01/2023 22:55,2137
Caudal,17/01/2023 22:55,2137
