Tag Name,Time,Value
Caudal,17/01/2023 15:29,61
Caudal,17/01/2023 16:01,64
Caudal,17/01/2023 16:39,50
Caudal,17/01/2023 17:24,48
Caudal,17/01/2023 17:40,38
Caudal,17/01/2023 18:22,49
Caudal,17/01/2023 18:45,47
Caudal,17/01/2023 20:07,48
Caudal,17/01/2023 21:29,42
Caudal,17/01/2023 22:01,61
Caudal,17/01/2023 22:51,72
Caudal,17/01/2023 22:54,73
Caudal,18/01/2023 0:13,79
Caudal,18/01/2023 1:35,80
Caudal,18/01/2023 2:57,79
Caudal,18/01/2023 4:19,74
Caudal,18/01/2023 5:41,71
Caudal,18/01/2023 7:03,69
Caudal,18/01/2023 8:13,59
Caudal,18/01/2023 8:13,46
Caudal,18/01/2023 8:13,32
Caudal,18/01/2023 8:14,32
Caudal,18/01/2023 8:14,20
Caudal,18/01/2023 8:14,8
Caudal,18/01/2023 8:14,0
Caudal,18/01/2023 8:25,0
Caudal,18/01/2023 8:34,20
Caudal,18/01/2023 8:34,31
Caudal,18/01/2023 8:34,45
Caudal,18/01/2023 8:35,58
Caudal,18/01/2023 8:35,73
Caudal,18/01/2023 8:35,73
Caudal,18/01/2023 8:35,86
Caudal,18/01/2023 8:39,74
Caudal,18/01/2023 8:48,99
Caudal,18/01/2023 8:48,111
Caudal,18/01/2023 8:49,99
Caudal,18/01/2023 8:50,85
Caudal,18/01/2023 8:52,74
Caudal,18/01/2023 9:39,62
Caudal,18/01/2023 9:48,62
Caudal,18/01/2023 10:53,50
Caudal,18/01/2023 11:09,47
Caudal,18/01/2023 12:31,56
Caudal,18/01/2023 13:53,52
Caudal,18/01/2023 15:15,48
Caudal,18/01/2023 16:37,44
Caudal,18/01/2023 16:48,38
Caudal,18/01/2023 17:59,36
Caudal,18/01/2023 19:21,34
Caudal,18/01/2023 20:12,50
Caudal,18/01/2023 20:43,55
Caudal,18/01/2023 21:05,62
Caudal,18/01/2023 22:06,67
Caudal,18/01/2023 23:27,73
Caudal,18/01/2023 23:30,73
Caudal,19/01/2023 0:27,80
Caudal,19/01/2023 0:27,80
Caudal,19/01/2023 0:28,100
Caudal,19/01/2023 0:28,112
Caudal,19/01/2023 0:30,110
Caudal,19/01/2023 0:31,99
Caudal,19/01/2023 0:49,88
Caudal,19/01/2023 2:11,89
Caudal,19/01/2023 3:33,87
Caudal,19/01/2023 4:55,85
Caudal,19/01/2023 5:35,75
Caudal,19/01/2023 6:11,63
Caudal,19/01/2023 6:17,59
Caudal,19/01/2023 7:04,72
Caudal,19/01/2023 7:39,74
Caudal,19/01/2023 9:01,72
Caudal,19/01/2023 9:27,62
Caudal,19/01/2023 9:58,51
Caudal,19/01/2023 10:23,47
Caudal,19/01/2023 11:45,41
Caudal,19/01/2023 13:07,56
Caudal,19/01/2023 14:29,49
Caudal,19/01/2023 15:51,44
Caudal,19/01/2023 17:13,46
Caudal,19/01/2023 18:35,51
Caudal,19/01/2023 19:35,39
Caudal,19/01/2023 19:38,50
Caudal,19/01/2023 19:40,37
Caudal,19/01/2023 19:42,49
Caudal,19/01/2023 19:57,54
Caudal,19/01/2023 20:45,61
Caudal,19/01/2023 21:19,70
Caudal,19/01/2023 22:41,72
Caudal,20/01/2023 0:03,76
Caudal,20/01/2023 1:25,78
Caudal,20/01/2023 1:53,61
Caudal,20/01/2023 2:00,49
Caudal,20/01/2023 2:12,37
Caudal,20/01/2023 2:15,49
Caudal,20/01/2023 2:44,37
Caudal,20/01/2023 2:47,36
Caudal,20/01/2023 3:13,26
Caudal,20/01/2023 3:45,14
Caudal,20/01/2023 4:09,10
Caudal,20/01/2023 5:07,3
Caudal,20/01/2023 5:31,0
Caudal,20/01/2023 6:53,0
Caudal,20/01/2023 8:16,0
Caudal,20/01/2023 8:46,16
Caudal,20/01/2023 8:46,48
Caudal,20/01/2023 8:47,77
Caudal,20/01/2023 8:47,99
Caudal,20/01/2023 8:47,117
Caudal,20/01/2023 8:47,130
Caudal,20/01/2023 8:48,145
Caudal,20/01/2023 8:49,157
Caudal,20/01/2023 9:13,169
Caudal,20/01/2023 9:37,171
Caudal,20/01/2023 10:59,173
Caudal,20/01/2023 12:21,168
Caudal,20/01/2023 12:30,157
Caudal,20/01/2023 13:12,145
Caudal,20/01/2023 13:44,146
Caudal,20/01/2023 15:03,133
Caudal,20/01/2023 15:03,121
Caudal,20/01/2023 15:05,122
Caudal,20/01/2023 16:17,134
Caudal,20/01/2023 16:27,145
Caudal,20/01/2023 16:50,122
Caudal,20/01/2023 16:58,134
