Tag Name,Time,Value
Caudal,17/01/2023 16:28,74
Caudal,17/01/2023 16:35,82
Caudal,17/01/2023 16:59,86
Caudal,17/01/2023 17:57,79
Caudal,17/01/2023 19:19,79
Caudal,17/01/2023 20:41,84
Caudal,17/01/2023 22:03,80
Caudal,17/01/2023 22:21,74
Caudal,17/01/2023 22:21,86
Caudal,17/01/2023 23:25,82
Caudal,18/01/2023 0:47,81
Caudal,18/01/2023 2:09,79
Caudal,18/01/2023 3:31,79
Caudal,18/01/2023 4:53,78
Caudal,18/01/2023 6:15,79
Caudal,18/01/2023 7:37,80
Caudal,18/01/2023 9:00,77
Caudal,18/01/2023 9:17,74
Caudal,18/01/2023 10:21,64
Caudal,18/01/2023 10:31,63
Caudal,18/01/2023 11:09,74
Caudal,18/01/2023 11:43,81
Caudal,18/01/2023 12:31,86
Caudal,18/01/2023 13:05,81
Caudal,18/01/2023 14:27,78
Caudal,18/01/2023 14:44,73
Caudal,18/01/2023 14:44,73
Caudal,18/01/2023 14:49,85
Caudal,18/01/2023 15:49,81
Caudal,18/01/2023 17:11,79
Caudal,18/01/2023 18:33,83
Caudal,18/01/2023 19:55,77
Caudal,18/01/2023 21:17,79
Caudal,18/01/2023 22:39,80
Caudal,19/01/2023 0:02,78
Caudal,19/01/2023 1:24,78
Caudal,19/01/2023 2:45,80
Caudal,19/01/2023 4:07,78
Caudal,19/01/2023 5:30,82
Caudal,19/01/2023 6:51,80
Caudal,19/01/2023 7:33,73
Caudal,19/01/2023 7:36,86
Caudal,19/01/2023 8:14,78
Caudal,19/01/2023 8:30,74
Caudal,19/01/2023 8:30,88
Caudal,19/01/2023 8:35,76
Caudal,19/01/2023 8:39,88
Caudal,19/01/2023 8:39,88
Caudal,19/01/2023 9:20,76
Caudal,19/01/2023 9:36,77
Caudal,19/01/2023 9:53,65
Caudal,19/01/2023 10:15,77
Caudal,19/01/2023 10:17,90
Caudal,19/01/2023 10:19,78
Caudal,19/01/2023 10:57,78
Caudal,19/01/2023 12:19,82
Caudal,19/01/2023 13:41,79
Caudal,19/01/2023 15:03,76
Caudal,19/01/2023 16:25,79
Caudal,19/01/2023 16:55,90
Caudal,19/01/2023 17:16,78
Caudal,19/01/2023 17:47,80
Caudal,19/01/2023 19:09,78
Caudal,19/01/2023 20:32,82
Caudal,19/01/2023 21:53,77
Caudal,19/01/2023 23:16,82
Caudal,20/01/2023 0:37,79
Caudal,20/01/2023 1:59,79
Caudal,20/01/2023 3:21,79
Caudal,20/01/2023 4:43,82
Caudal,20/01/2023 6:06,78
Caudal,20/01/2023 7:28,77
Caudal,20/01/2023 8:49,78
Caudal,20/01/2023 10:11,78
Caudal,20/01/2023 11:33,79
Caudal,20/01/2023 12:55,81
Caudal,20/01/2023 14:17,80
Caudal,20/01/2023 15:40,81
Caudal,20/01/2023 17:01,80
Caudal,20/01/2023 18:23,79
Caudal,20/01/2023 19:45,79
Caudal,20/01/2023 21:07,81
Caudal,20/01/2023 22:29,79
Caudal,20/01/2023 23:51,80
Caudal,21/01/2023 1:13,79
Caudal,21/01/2023 2:35,79
Caudal,21/01/2023 3:57,81
Caudal,21/01/2023 5:19,81
Caudal,21/01/2023 6:41,82
Caudal,21/01/2023 8:03,79
Caudal,21/01/2023 9:26,80
Caudal,21/01/2023 10:47,80
Caudal,21/01/2023 12:09,81
Caudal,21/01/2023 13:18,66
Caudal,21/01/2023 13:18,46
Caudal,21/01/2023 13:18,33
Caudal,21/01/2023 13:18,21
Caudal,21/01/2023 13:19,8
Caudal,21/01/2023 13:19,8
Caudal,21/01/2023 13:31,0
Caudal,21/01/2023 14:53,0
Caudal,21/01/2023 16:15,0
Caudal,21/01/2023 17:37,0
Caudal,21/01/2023 18:59,0
Caudal,21/01/2023 20:21,0
Caudal,21/01/2023 21:43,0
Caudal,21/01/2023 23:05,0
Caudal,22/01/2023 0:27,0
Caudal,22/01/2023 1:49,0
Caudal,22/01/2023 3:11,0
Caudal,22/01/2023 4:34,0
Caudal,22/01/2023 5:55,0
Caudal,22/01/2023 7:17,0
Caudal,22/01/2023 8:39,0
Caudal,22/01/2023 10:01,0
Caudal,22/01/2023 11:23,0
Caudal,22/01/2023 12:45,0
Caudal,22/01/2023 14:07,0
Caudal,22/01/2023 15:29,0
Caudal,22/01/2023 16:51,0
Caudal,22/01/2023 18:13,0
Caudal,22/01/2023 19:35,0
Caudal,22/01/2023 20:57,0
Caudal,22/01/2023 22:19,0
Caudal,22/01/2023 23:41,0
Caudal,23/01/2023 1:03,0
Caudal,23/01/2023 2:25,0
Caudal,23/01/2023 3:47,0
Caudal,23/01/2023 5:09,0
Caudal,23/01/2023 6:31,0
Caudal,23/01/2023 7:08,21
Caudal,23/01/2023 7:08,34
Caudal,23/01/2023 7:08,59
Caudal,23/01/2023 7:08,70
Caudal,23/01/2023 7:09,82
Caudal,23/01/2023 7:09,70
Caudal,23/01/2023 7:10,82
Caudal,23/01/2023 7:10,70
Caudal,23/01/2023 7:10,70
Caudal,23/01/2023 7:11,57
Caudal,23/01/2023 7:12,70
Caudal,23/01/2023 7:13,83
Caudal,23/01/2023 7:53,78
Caudal,23/01/2023 9:15,80
Caudal,23/01/2023 10:38,78
Caudal,23/01/2023 11:59,81
Caudal,23/01/2023 13:21,79
Caudal,23/01/2023 14:44,81
Caudal,23/01/2023 16:05,80
Caudal,23/01/2023 17:27,81
Caudal,23/01/2023 18:49,81
Caudal,23/01/2023 20:11,82
Caudal,23/01/2023 21:33,80
Caudal,23/01/2023 22:56,81
Caudal,24/01/2023 0:17,78
Caudal,24/01/2023 1:40,82
Caudal,24/01/2023 3:01,80
Caudal,24/01/2023 4:23,78
Caudal,24/01/2023 5:46,78
Caudal,24/01/2023 7:07,79
Caudal,24/01/2023 8:29,81
Caudal,24/01/2023 9:51,79
Caudal,24/01/2023 11:13,79
Caudal,24/01/2023 12:35,81
Caudal,24/01/2023 13:57,81
Caudal,24/01/2023 15:20,78
Caudal,24/01/2023 16:41,83
Caudal,24/01/2023 18:03,82
Caudal,24/01/2023 19:25,80
Caudal,24/01/2023 20:47,79
Caudal,24/01/2023 22:09,80
Caudal,24/01/2023 23:31,78
Caudal,25/01/2023 0:53,80
Caudal,25/01/2023 2:15,80
Caudal,25/01/2023 3:37,78
Caudal,25/01/2023 4:59,79
Caudal,25/01/2023 6:21,79
Caudal,25/01/2023 7:43,80
Caudal,25/01/2023 9:05,81
Caudal,25/01/2023 10:28,79
Caudal,25/01/2023 11:50,78
Caudal,25/01/2023 13:11,81
Caudal,25/01/2023 14:33,81
Caudal,25/01/2023 15:55,79
Caudal,25/01/2023 17:09,59
Caudal,25/01/2023 17:09,59
Caudal,25/01/2023 17:09,42
Caudal,25/01/2023 18:40,38
Caudal,25/01/2023 20:01,40
Caudal,25/01/2023 21:24,39
Caudal,25/01/2023 22:45,39
Caudal,26/01/2023 0:07,39
Caudal,26/01/2023 1:29,37
Caudal,26/01/2023 2:51,39
Caudal,26/01/2023 4:14,40
Caudal,26/01/2023 5:35,38
Caudal,26/01/2023 6:57,39
Caudal,26/01/2023 8:19,41
Caudal,26/01/2023 9:41,39
Caudal,26/01/2023 11:03,41
Caudal,26/01/2023 12:25,40
Caudal,26/01/2023 13:48,41
Caudal,26/01/2023 15:09,39
Caudal,26/01/2023 16:31,41
Caudal,26/01/2023 17:53,40
Caudal,26/01/2023 19:15,39
Caudal,26/01/2023 20:38,40
Caudal,26/01/2023 22:00,42
Caudal,26/01/2023 23:15,30
Caudal,26/01/2023 23:16,44
Caudal,26/01/2023 23:21,34
Caudal,27/01/2023 0:43,39
Caudal,27/01/2023 2:06,38
Caudal,27/01/2023 2:58,56
Caudal,27/01/2023 2:58,44
Caudal,27/01/2023 3:28,41
Caudal,27/01/2023 4:49,38
Caudal,27/01/2023 6:11,39
Caudal,27/01/2023 7:33,41
Caudal,27/01/2023 8:56,40
Caudal,27/01/2023 10:17,38
Caudal,27/01/2023 10:55,56
Caudal,27/01/2023 10:56,69
Caudal,27/01/2023 10:57,56
Caudal,27/01/2023 10:57,45
Caudal,27/01/2023 10:58,57
Caudal,27/01/2023 11:00,44
Caudal,27/01/2023 11:39,41
Caudal,27/01/2023 13:01,40
Caudal,27/01/2023 14:23,39
Caudal,27/01/2023 15:46,40
Caudal,27/01/2023 17:07,38
Caudal,27/01/2023 18:29,41
Caudal,27/01/2023 19:51,41
Caudal,27/01/2023 20:14,57
Caudal,27/01/2023 20:16,45
Caudal,27/01/2023 21:13,39
Caudal,27/01/2023 22:35,38
Caudal,27/01/2023 23:05,56
Caudal,27/01/2023 23:57,53
Caudal,28/01/2023 1:19,60
Caudal,28/01/2023 2:41,57
Caudal,28/01/2023 4:03,59
Caudal,28/01/2023 5:25,60
Caudal,28/01/2023 6:47,46
Caudal,28/01/2023 8:10,47
Caudal,28/01/2023 9:31,50
Caudal,28/01/2023 10:53,47
Caudal,28/01/2023 12:15,48
Caudal,28/01/2023 13:14,44
Caudal,28/01/2023 13:14,32
Caudal,28/01/2023 13:14,19
Caudal,28/01/2023 13:15,7
Caudal,28/01/2023 13:37,0
Caudal,28/01/2023 14:59,0
Caudal,28/01/2023 16:22,0
Caudal,28/01/2023 17:43,0
Caudal,28/01/2023 19:05,0
Caudal,28/01/2023 20:27,0
Caudal,28/01/2023 21:49,0
Caudal,28/01/2023 23:11,0
Caudal,29/01/2023 0:33,0
Caudal,29/01/2023 1:55,0
Caudal,29/01/2023 3:17,0
Caudal,29/01/2023 4:39,0
Caudal,29/01/2023 6:01,0
Caudal,29/01/2023 7:23,0
Caudal,29/01/2023 8:45,0
Caudal,29/01/2023 10:07,0
Caudal,29/01/2023 11:29,0
Caudal,29/01/2023 12:52,0
Caudal,29/01/2023 14:13,0
Caudal,29/01/2023 15:35,0
Caudal,29/01/2023 16:57,0
Caudal,29/01/2023 18:19,0
Caudal,29/01/2023 19:41,0
Caudal,29/01/2023 21:03,0
Caudal,29/01/2023 22:25,0
Caudal,29/01/2023 23:47,0
Caudal,30/01/2023 1:09,0
Caudal,30/01/2023 2:31,0
Caudal,30/01/2023 3:53,0
Caudal,30/01/2023 5:15,0
Caudal,30/01/2023 6:37,0
Caudal,30/01/2023 7:32,19
Caudal,30/01/2023 7:32,31
Caudal,30/01/2023 7:32,43
Caudal,30/01/2023 7:32,56
Caudal,30/01/2023 7:32,69
Caudal,30/01/2023 7:32,81
Caudal,30/01/2023 7:34,70
Caudal,30/01/2023 7:34,70
Caudal,30/01/2023 7:36,82
Caudal,30/01/2023 8:00,79
Caudal,30/01/2023 9:22,81
Caudal,30/01/2023 10:44,77
Caudal,30/01/2023 11:18,95
Caudal,30/01/2023 11:19,82
Caudal,30/01/2023 12:05,80
Caudal,30/01/2023 13:27,79
Caudal,30/01/2023 14:49,80
Caudal,30/01/2023 14:57,70
Caudal,30/01/2023 15:12,58
Caudal,30/01/2023 16:11,58
Caudal,30/01/2023 17:33,58
Caudal,30/01/2023 18:55,58
Caudal,30/01/2023 19:30,71
Caudal,30/01/2023 19:49,59
Caudal,30/01/2023 20:17,58
Caudal,30/01/2023 20:57,71
Caudal,30/01/2023 20:58,59
Caudal,30/01/2023 21:00,71
Caudal,30/01/2023 21:01,59
Caudal,30/01/2023 21:39,68
Caudal,30/01/2023 22:40,71
Caudal,30/01/2023 22:40,83
Caudal,30/01/2023 23:01,78
Caudal,31/01/2023 0:24,80
Caudal,31/01/2023 1:46,79
Caudal,31/01/2023 3:07,81
Caudal,31/01/2023 4:29,79
Caudal,31/01/2023 5:51,82
Caudal,31/01/2023 7:13,80
Caudal,31/01/2023 7:42,71
Caudal,31/01/2023 7:42,58
Caudal,31/01/2023 8:36,51
Caudal,31/01/2023 9:57,54
Caudal,31/01/2023 11:19,52
Caudal,31/01/2023 12:41,53
Caudal,31/01/2023 13:06,41
Caudal,31/01/2023 13:07,28
Caudal,31/01/2023 14:03,32
Caudal,31/01/2023 15:25,32
Caudal,31/01/2023 16:47,32
Caudal,31/01/2023 18:09,32
Caudal,31/01/2023 19:31,32
Caudal,31/01/2023 20:22,45
Caudal,31/01/2023 20:22,71
Caudal,31/01/2023 20:22,88
Caudal,31/01/2023 20:23,105
Caudal,31/01/2023 20:23,121
Caudal,31/01/2023 20:23,138
Caudal,31/01/2023 20:23,152
Caudal,31/01/2023 20:24,164
Caudal,31/01/2023 20:24,184
Caudal,31/01/2023 20:25,203
Caudal,31/01/2023 20:25,190
Caudal,31/01/2023 20:25,178
Caudal,31/01/2023 20:25,165
Caudal,31/01/2023 20:25,152
Caudal,31/01/2023 20:26,139
Caudal,31/01/2023 20:26,125
Caudal,31/01/2023 20:26,112
Caudal,31/01/2023 20:26,99
Caudal,31/01/2023 20:26,85
Caudal,31/01/2023 20:28,99
Caudal,31/01/2023 20:28,86
Caudal,31/01/2023 20:28,65
Caudal,31/01/2023 20:30,78
Caudal,31/01/2023 20:31,66
Caudal,31/01/2023 20:34,52
Caudal,31/01/2023 20:53,52
Caudal,31/01/2023 22:15,52
Caudal,31/01/2023 23:14,65
Caudal,31/01/2023 23:14,79
Caudal,31/01/2023 23:37,80
Caudal,01/02/2023 1:00,81
Caudal,01/02/2023 2:22,80
Caudal,01/02/2023 3:43,78
Caudal,01/02/2023 4:19,67
Caudal,01/02/2023 5:05,59
Caudal,01/02/2023 5:11,54
Caudal,01/02/2023 6:22,42
Caudal,01/02/2023 6:27,44
