Tag Name,Time,Value
Caudal,17/01/2023 15:04,6417
Caudal,17/01/2023 15:05,6397
Caudal,17/01/2023 15:05,6383
Caudal,17/01/2023 15:06,6365
Caudal,17/01/2023 15:07,6353
Caudal,17/01/2023 15:08,6379
Caudal,17/01/2023 15:08,6398
Caudal,17/01/2023 15:08,6412
Caudal,17/01/2023 15:09,6442
Caudal,17/01/2023 15:09,6454
Caudal,17/01/2023 15:10,6468
Caudal,17/01/2023 15:14,6455
Caudal,17/01/2023 15:15,6443
Caudal,17/01/2023 15:16,6456
Caudal,17/01/2023 15:17,6471
Caudal,17/01/2023 15:18,6483
Caudal,17/01/2023 15:23,6468
Caudal,17/01/2023 15:26,6454
Caudal,17/01/2023 15:26,6454
Caudal,17/01/2023 15:28,6473
Caudal,17/01/2023 15:31,6485
Caudal,17/01/2023 15:32,6472
Caudal,17/01/2023 15:43,6460
Caudal,17/01/2023 15:44,6473
Caudal,17/01/2023 15:49,6459
Caudal,17/01/2023 15:57,6447
Caudal,17/01/2023 16:04,6464
Caudal,17/01/2023 16:06,6452
Caudal,17/01/2023 16:18,6440
Caudal,17/01/2023 16:31,6428
Caudal,17/01/2023 16:36,6410
Caudal,17/01/2023 16:36,6397
Caudal,17/01/2023 16:36,6412
Caudal,17/01/2023 16:37,6430
Caudal,17/01/2023 16:38,6443
Caudal,17/01/2023 16:48,6440
Caudal,17/01/2023 16:50,6431
Caudal,17/01/2023 16:54,6444
Caudal,17/01/2023 16:58,6432
Caudal,17/01/2023 17:08,6421
Caudal,17/01/2023 17:25,6405
Caudal,17/01/2023 17:26,6393
Caudal,17/01/2023 17:26,6380
Caudal,17/01/2023 17:26,6380
Caudal,17/01/2023 17:28,6369
Caudal,17/01/2023 17:31,6382
Caudal,17/01/2023 17:34,6382
Caudal,17/01/2023 17:45,6394
Caudal,17/01/2023 17:45,6394
Caudal,17/01/2023 17:45,6377
Caudal,17/01/2023 17:46,6364
Caudal,17/01/2023 18:09,6377
Caudal,17/01/2023 18:09,6389
Caudal,17/01/2023 18:09,6389
Caudal,17/01/2023 18:12,6377
Caudal,17/01/2023 18:27,6363
Caudal,17/01/2023 18:30,6351
Caudal,17/01/2023 18:31,6370
Caudal,17/01/2023 18:31,6382
Caudal,17/01/2023 18:35,6370
Caudal,17/01/2023 18:39,6358
Caudal,17/01/2023 18:42,6346
Caudal,17/01/2023 18:56,6358
Caudal,17/01/2023 19:03,6370
Caudal,17/01/2023 19:12,6358
Caudal,17/01/2023 19:17,6374
Caudal,17/01/2023 19:23,6386
Caudal,17/01/2023 19:30,6373
Caudal,17/01/2023 19:31,6359
Caudal,17/01/2023 19:31,6345
Caudal,17/01/2023 19:31,6341
Caudal,17/01/2023 19:33,6333
Caudal,17/01/2023 19:40,6345
Caudal,17/01/2023 19:41,6362
Caudal,17/01/2023 19:42,6376
Caudal,17/01/2023 19:43,6388
Caudal,17/01/2023 19:59,6375
Caudal,17/01/2023 19:59,6358
Caudal,17/01/2023 20:00,6346
Caudal,17/01/2023 20:09,6361
